,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,
Position,Track Name,Artist,Streams,URL
56,La Tóxica,Farruko,1191778,https://open.spotify.com/track/15OjBeqNX3bShsGYQbteRv
57,Vida de Rico,Camilo,1184170,https://open.spotify.com/track/73nAK3HgQK8dak83Y2WQ8F
58,Laugh Now Cry Later (feat. Lil Durk),Drake,1145980,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI
59,Train Wreck,James Arthur,1135854,https://open.spotify.com/track/55Am8neGJkdj2ADaM3aw5H
60,death bed (coffee for your head),Powfu,1122854,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
61,Life Goes On,BTS,1112524,https://open.spotify.com/track/249gnXrbfmV8NG6jTEMSwD
62,Savage Love (Laxed - Siren Beat),Jawsh 685,1112362,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
63,Holy (feat. Chance The Rapper),Justin Bieber,1106619,https://open.spotify.com/track/5u1n1kITHCxxp8twBcZxWy
64,Lucid Dreams,Juice WRLD,1103050,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
65,Best Friend (feat. Doja Cat),Saweetie,1102328,https://open.spotify.com/track/2etHQJxIbV0soyPhelVs9Y
66,Take You Dancing,Jason Derulo,1088897,https://open.spotify.com/track/59qrUpoplZxbIZxk6X0Bm3
67,lovely (with Khalid),Billie Eilish,1087503,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
68,Una Locura,Ozuna,1078294,https://open.spotify.com/track/5y7DaS3jAc9eZzcSOoUIwU
69,SO DONE,The Kid LAROI,1077499,https://open.spotify.com/track/3qgPpwtuRu5oP8EtFSj8HE
70,Mi Niña,Wisin,1071891,https://open.spotify.com/track/2bgcUk2A3jjKbCJ7KPquTi
71,The Box,Roddy Ricch,1070600,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
72,Breaking Me,Topic,1062341,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
73,Put Your Records On,Ritt Momney,1061950,https://open.spotify.com/track/6AGOKlMZWLCaEJGnaROtF9
74,Golden,Harry Styles,1061633,https://open.spotify.com/track/45S5WTQEGOB1VHr1Q4FuPl
75,Circles,Post Malone,1057595,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
76,UN DIA (ONE DAY) (Feat. Tainy),J Balvin,1050594,https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e
77,Wishing Well,Juice WRLD,1035955,https://open.spotify.com/track/2U5WueTLIK5WJLD7mvDODv
78,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,1034891,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
79,De Una Vez,Selena Gomez,1032962,https://open.spotify.com/track/0HC6S4VpCGAZvyxTdrMRIQ
80,At My Worst,Pink Sweat$,1020057,https://open.spotify.com/track/2tI4WyzqOOwC23S5m0kqcB
81,Blueberry Faygo,Lil Mosey,1019422,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
82,Wonder,Shawn Mendes,1011737,https://open.spotify.com/track/6ZuahEctZD6w75peme58hm
83,Body,Megan Thee Stallion,1006092,https://open.spotify.com/track/0A1hoCfMLkiAgvhWkkucJa
84,La Curiosidad,Jay Wheeler,998732,https://open.spotify.com/track/4HYDUMY0xSpeBr0AMY9cUz
85,goosebumps,Travis Scott,998263,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
86,Daisy,Ashnikko,978718,https://open.spotify.com/track/2g1KggY9PKvsoEAOaiz4xx
87,Heat Waves,Glass Animals,978466,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
88,Jeans,Justin Quiles,973047,https://open.spotify.com/track/3GtnId3Cm1Xa6joCj08nzW
89,Adore You,Harry Styles,972681,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
90,Parce (feat. Justin Quiles),Maluma,965792,https://open.spotify.com/track/4RJz8NfIe09gpKMiRUWKhJ
91,pov,Ariana Grande,965579,https://open.spotify.com/track/3UoULw70kMsiVXxW0L3A33
92,Se Te Nota (with Guaynaa),Lele Pons,963221,https://open.spotify.com/track/11EnQRgRMJwMAesfkB5pnu
93,"All I Want - From ""High School Musical: The Musical: The Series""",Olivia Rodrigo,957612,https://open.spotify.com/track/4Yxc55NX3tAXC2mHRAhtcW
94,Nathy Peluso: Bzrp Music Sessions Vol. 36,Bizarrap,957278,https://open.spotify.com/track/78SeXVRJ7KCqVmOwTiFjnI
95,Polvo,Nicky Jam,954937,https://open.spotify.com/track/68mrW6gXHgupgSiDHgaDi5
96,Señorita,Shawn Mendes,952806,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
97,Dreams - 2004 Remaster,Fleetwood Mac,950579,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz
98,Robbery,Juice WRLD,948961,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
99,Ay DiOs Mío!,KAROL G,948142,https://open.spotify.com/track/7x4ASXYEKfQBCewcZhK776
100,Memories,Maroon 5,940917,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
101,Ohne Dich,KASIMIR1441,927544,https://open.spotify.com/track/4hSJUp6k7QeHLxU32MrLIU
102,Falling,Trevor Daniel,921059,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
103,Hello (feat. A Boogie Wit da Hoodie),Pop Smoke,917343,https://open.spotify.com/track/2r6OAV3WsYtXuXjvJ1lIDi
104,Daddy Issues,The Neighbourhood,913050,https://open.spotify.com/track/5E30LdtzQTGqRvNd7l6kG5
105,Jocelyn Flores,XXXTENTACION,910625,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
106,Come & Go (with Marshmello),Juice WRLD,909678,https://open.spotify.com/track/2Y0wPrPQBrGhoLn14xRYCG
107,All Girls Are The Same,Juice WRLD,899123,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1
108,bad guy,Billie Eilish,896160,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
109,Ele É Ele Eu Sou Eu,Wesley Safadão,894575,https://open.spotify.com/track/7EWXP47VlXKO3r7mNxuWHw
110,Tusa,KAROL G,890717,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
111,HIGHEST IN THE ROOM,Travis Scott,884510,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
