Date,Home Team,Home Conference,Home Division,Home Score,Visitor Team,Visitor Conference,Visitor Division,Visitor Score,Post Season,Season
2018-10-25,Orlando Magic,East,Southeast,114,Portland Trail Blazers,West,Northwest,128,FALSE,2018
2018-10-25,Oklahoma City Thunder,West,Northwest,95,Boston Celtics,East,Atlantic,101,FALSE,2018
2018-10-25,Los Angeles Lakers,West,Pacific,121,Denver Nuggets,West,Northwest,114,FALSE,2018
2018-10-26,Charlotte Hornets,East,Southeast,135,Chicago Bulls,East,Central,106,FALSE,2018
2018-10-26,New York Knicks,East,Atlantic,100,Golden State Warriors,West,Pacific,128,FALSE,2018
2018-10-26,Toronto Raptors,East,Atlantic,116,Dallas Mavericks,West,Southwest,107,FALSE,2018
2018-10-26,Houston Rockets,West,Southwest,113,LA Clippers,West,Pacific,133,FALSE,2018
2018-10-26,Minnesota Timberwolves,West,Northwest,95,Milwaukee Bucks,East,Central,125,FALSE,2018
2018-10-26,New Orleans Pelicans,West,Southwest,117,Brooklyn Nets,East,Atlantic,115,FALSE,2018
2018-10-26,Sacramento Kings,West,Pacific,116,Washington Wizards,East,Southeast,112,FALSE,2018
2018-10-27,Detroit Pistons,East,Central,89,Boston Celtics,East,Atlantic,109,FALSE,2018
2018-10-27,New Orleans Pelicans,West,Southwest,111,Utah Jazz,West,Northwest,132,FALSE,2018
2018-10-27,Cleveland Cavaliers,East,Central,107,Indiana Pacers,East,Central,119,FALSE,2018
2018-10-27,Atlanta Hawks,East,Southeast,85,Chicago Bulls,East,Central,97,FALSE,2018
2018-10-27,Philadelphia 76ers,East,Atlantic,105,Charlotte Hornets,East,Southeast,103,FALSE,2018
2018-10-27,Miami Heat,East,Southeast,120,Portland Trail Blazers,West,Northwest,111,FALSE,2018
2018-10-27,Memphis Grizzlies,West,Southwest,117,Phoenix Suns,West,Pacific,96,FALSE,2018
2018-10-27,Milwaukee Bucks,East,Central,113,Orlando Magic,East,Southeast,91,FALSE,2018
2018-10-27,San Antonio Spurs,West,Southwest,110,Los Angeles Lakers,West,Pacific,106,FALSE,2018
2018-10-28,Dallas Mavericks,West,Southwest,104,Utah Jazz,West,Northwest,113,FALSE,2018
2018-10-28,Brooklyn Nets,East,Atlantic,114,Golden State Warriors,West,Pacific,120,FALSE,2018
2018-10-28,Oklahoma City Thunder,West,Northwest,117,Phoenix Suns,West,Pacific,110,FALSE,2018
2018-10-28,LA Clippers,West,Pacific,136,Washington Wizards,East,Southeast,104,FALSE,2018
2018-10-29,Indiana Pacers,East,Central,93,Portland Trail Blazers,West,Northwest,103,FALSE,2018
2018-10-29,Philadelphia 76ers,East,Atlantic,113,Atlanta Hawks,East,Southeast,92,FALSE,2018
2018-10-29,Miami Heat,East,Southeast,113,Sacramento Kings,West,Pacific,123,FALSE,2018
2018-10-29,New York Knicks,East,Atlantic,115,Brooklyn Nets,East,Atlantic,96,FALSE,2018
2018-10-29,Chicago Bulls,East,Central,124,Golden State Warriors,West,Pacific,149,FALSE,2018
2018-10-29,Milwaukee Bucks,East,Central,124,Toronto Raptors,East,Atlantic,109,FALSE,2018
2018-10-29,Minnesota Timberwolves,West,Northwest,124,Los Angeles Lakers,West,Pacific,120,FALSE,2018
2018-10-29,San Antonio Spurs,West,Southwest,113,Dallas Mavericks,West,Southwest,108,FALSE,2018
2018-10-29,Denver Nuggets,West,Northwest,116,New Orleans Pelicans,West,Southwest,111,FALSE,2018
2018-10-30,Charlotte Hornets,East,Southeast,125,Miami Heat,East,Southeast,113,FALSE,2018
2018-10-30,Cleveland Cavaliers,East,Central,136,Atlanta Hawks,East,Southeast,114,FALSE,2018
2018-10-30,Orlando Magic,East,Southeast,99,Sacramento Kings,West,Pacific,107,FALSE,2018
2018-10-30,Boston Celtics,East,Atlantic,108,Detroit Pistons,East,Central,105,FALSE,2018
2018-10-30,Toronto Raptors,East,Atlantic,129,Philadelphia 76ers,East,Atlantic,112,FALSE,2018
2018-10-30,Houston Rockets,West,Southwest,85,Portland Trail Blazers,West,Northwest,104,FALSE,2018
2018-10-30,Memphis Grizzlies,West,Southwest,107,Washington Wizards,East,Southeast,95,FALSE,2018
2018-10-30,Oklahoma City Thunder,West,Northwest,128,LA Clippers,West,Pacific,110,FALSE,2018
2018-10-31,Brooklyn Nets,East,Atlantic,120,Detroit Pistons,East,Central,119,FALSE,2018
2018-10-31,New York Knicks,East,Atlantic,101,Indiana Pacers,East,Central,107,FALSE,2018
2018-10-31,Chicago Bulls,East,Central,107,Denver Nuggets,West,Northwest,108,FALSE,2018
2018-10-31,Minnesota Timberwolves,West,Northwest,128,Utah Jazz,West,Northwest,125,FALSE,2018
2018-10-31,Golden State Warriors,West,Pacific,131,New Orleans Pelicans,West,Southwest,121,FALSE,2018
2018-10-31,Los Angeles Lakers,West,Pacific,114,Dallas Mavericks,West,Southwest,113,FALSE,2018
2018-10-31,Phoenix Suns,West,Pacific,90,San Antonio Spurs,West,Southwest,120,FALSE,2018
2018-11-01,Charlotte Hornets,East,Southeast,107,Oklahoma City Thunder,West,Northwest,111,FALSE,2018
2018-11-01,Cleveland Cavaliers,East,Central,91,Denver Nuggets,West,Northwest,110,FALSE,2018
2018-11-01,Philadelphia 76ers,East,Atlantic,122,LA Clippers,West,Pacific,113,FALSE,2018
2018-11-01,Atlanta Hawks,East,Southeast,115,Sacramento Kings,West,Pacific,146,FALSE,2018
2018-11-01,Boston Celtics,East,Atlantic,117,Milwaukee Bucks,East,Central,113,FALSE,2018
2018-11-01,Portland Trail Blazers,West,Northwest,132,New Orleans Pelicans,West,Southwest,119,FALSE,2018
2018-11-02,Washington Wizards,East,Southeast,111,Oklahoma City Thunder,West,Northwest,134,FALSE,2018
2018-11-02,Orlando Magic,East,Southeast,95,LA Clippers,West,Pacific,120,FALSE,2018
2018-11-02,Brooklyn Nets,East,Atlantic,111,Houston Rockets,West,Southwest,119,FALSE,2018
2018-11-02,Chicago Bulls,East,Central,105,Indiana Pacers,East,Central,107,FALSE,2018
2018-11-02,Dallas Mavericks,West,Southwest,106,New York Knicks,East,Atlantic,118,FALSE,2018
2018-11-02,Utah Jazz,West,Northwest,100,Memphis Grizzlies,West,Southwest,110,FALSE,2018
2018-11-02,Phoenix Suns,West,Pacific,98,Toronto Raptors,East,Atlantic,107,FALSE,2018
2018-11-02,Golden State Warriors,West,Pacific,116,Minnesota Timberwolves,West,Northwest,99,FALSE,2018
2018-11-03,Philadelphia 76ers,East,Atlantic,109,Detroit Pistons,East,Central,99,FALSE,2018
2018-11-03,Charlotte Hornets,East,Southeast,126,Cleveland Cavaliers,East,Central,94,FALSE,2018
2018-11-03,Indiana Pacers,East,Central,102,Boston Celtics,East,Atlantic,101,FALSE,2018
2018-11-03,Atlanta Hawks,East,Southeast,123,Miami Heat,East,Southeast,118,FALSE,2018
2018-11-03,San Antonio Spurs,West,Southwest,109,New Orleans Pelicans,West,Southwest,95,FALSE,2018
2018-11-03,Chicago Bulls,East,Central,88,Houston Rockets,West,Southwest,96,FALSE,2018
2018-11-03,Denver Nuggets,West,Northwest,103,Utah Jazz,West,Northwest,88,FALSE,2018
