Date,Home Team,Home Conference,Home Division,Home Score,Visitor Team,Visitor Conference,Visitor Division,Visitor Score,Post Season,Season
2018-11-12,Toronto Raptors,East,Atlantic,110,New Orleans Pelicans,West,Southwest,126,FALSE,2018
2018-11-12,LA Clippers,West,Pacific,121,Golden State Warriors,West,Pacific,116,FALSE,2018
2018-11-12,Washington Wizards,East,Southeast,117,Orlando Magic,East,Southeast,109,FALSE,2018
2018-11-12,Miami Heat,East,Southeast,114,Philadelphia 76ers,East,Atlantic,124,FALSE,2018
2018-11-12,Memphis Grizzlies,West,Southwest,88,Utah Jazz,West,Northwest,96,FALSE,2018
2018-11-12,Oklahoma City Thunder,West,Northwest,118,Phoenix Suns,West,Pacific,101,FALSE,2018
2018-11-12,Sacramento Kings,West,Pacific,104,San Antonio Spurs,West,Southwest,99,FALSE,2018
2018-11-13,Golden State Warriors,West,Pacific,110,Atlanta Hawks,East,Southeast,103,FALSE,2018
2018-11-13,Cleveland Cavaliers,East,Central,113,Charlotte Hornets,East,Southeast,89,FALSE,2018
2018-11-13,Denver Nuggets,West,Northwest,99,Houston Rockets,West,Southwest,109,FALSE,2018
2018-11-14,Oklahoma City Thunder,West,Northwest,128,New York Knicks,East,Atlantic,103,FALSE,2018
2018-11-14,Minnesota Timberwolves,West,Northwest,107,New Orleans Pelicans,West,Southwest,100,FALSE,2018
2018-11-14,Boston Celtics,East,Atlantic,111,Chicago Bulls,East,Central,82,FALSE,2018
2018-11-14,Orlando Magic,East,Southeast,111,Philadelphia 76ers,East,Atlantic,106,FALSE,2018
2018-11-14,Washington Wizards,East,Southeast,119,Cleveland Cavaliers,East,Central,95,FALSE,2018
2018-11-14,Brooklyn Nets,East,Atlantic,107,Miami Heat,East,Southeast,120,FALSE,2018
2018-11-14,Toronto Raptors,East,Atlantic,104,Detroit Pistons,East,Central,106,FALSE,2018
2018-11-14,Dallas Mavericks,West,Southwest,118,Utah Jazz,West,Northwest,68,FALSE,2018
2018-11-14,Milwaukee Bucks,East,Central,113,Memphis Grizzlies,West,Southwest,116,FALSE,2018
2018-11-14,Phoenix Suns,West,Pacific,116,San Antonio Spurs,West,Southwest,96,FALSE,2018
